k,ratio
1.000000000000000000e+01,9.821076931507265462e-01
3.000000000000000000e+01,1.039632383388557901e+00
5.000000000000000000e+01,1.118500153090059568e+00
7.000000000000000000e+01,8.990182132536133075e-01
9.000000000000000000e+01,1.011278224999846209e+00
1.100000000000000000e+02,1.040316054113695543e+00
1.300000000000000000e+02,9.656796246948647910e-01
1.500000000000000000e+02,1.021559043125651156e+00
1.700000000000000000e+02,1.201901321676766665e+00
1.900000000000000000e+02,1.047192257090986400e+00
2.100000000000000000e+02,1.070926285514799181e+00
2.300000000000000000e+02,9.994891038489592816e-01
2.500000000000000000e+02,9.507335108601131513e-01
2.700000000000000000e+02,9.818048408427627605e-01
2.900000000000000000e+02,1.031107813139295004e+00
3.100000000000000000e+02,1.001202946098558311e+00
3.300000000000000000e+02,1.031268650920194707e+00
3.500000000000000000e+02,9.512145199785171368e-01
3.700000000000000000e+02,9.542561874191463067e-01
3.900000000000000000e+02,1.041539584758421677e+00
4.100000000000000000e+02,9.956198712170819531e-01
4.300000000000000000e+02,9.411432462266026144e-01
4.500000000000000000e+02,9.929899320271211582e-01
4.700000000000000000e+02,9.910937868932653272e-01
4.900000000000000000e+02,1.015493787010275817e+00
5.100000000000000000e+02,1.018697502044949355e+00
5.300000000000000000e+02,1.003732540870960532e+00
5.500000000000000000e+02,1.011804583864109208e+00
5.700000000000000000e+02,9.972610207535231863e-01
5.900000000000000000e+02,9.767160178821355787e-01
6.100000000000000000e+02,1.001229634180907491e+00
6.300000000000000000e+02,1.007658996151527431e+00
6.500000000000000000e+02,1.015939715271511723e+00
6.700000000000000000e+02,9.900192356097271551e-01
6.900000000000000000e+02,1.041150235313500261e+00
7.100000000000000000e+02,9.831807978263940040e-01
7.300000000000000000e+02,1.030172847863976671e+00
7.500000000000000000e+02,9.994018338348714670e-01
7.700000000000000000e+02,1.052205713825682842e+00
7.900000000000000000e+02,1.026758104960574070e+00
8.100000000000000000e+02,9.825740461043644958e-01
8.300000000000000000e+02,9.994944889763882623e-01
8.500000000000000000e+02,1.045509663837169256e+00
8.700000000000000000e+02,9.804456155156331398e-01
8.900000000000000000e+02,9.586312959082636809e-01
9.100000000000000000e+02,1.008554020917492577e+00
9.300000000000000000e+02,1.013801570009710940e+00
9.500000000000000000e+02,1.042227393121880619e+00
9.700000000000000000e+02,9.958385166250784959e-01
9.900000000000000000e+02,9.938042211709698925e-01
1.000000000000000000e+03,9.944069484251282232e-01
